Unnamed: 0,JKT,JKM,GRS,LT,LB,Category
0,3,2,2,137,170,Sedang
1,3,2,3,202,300,Mahal
2,5,2,1,350,258,Mahal
3,2,2,1,30,80,Murah
5,5,3,1,184,234,Mahal
6,2,1,1,65,45,Sedang
7,4,3,2,260,260,Sedang
8,5,3,2,404,250,Mahal
10,4,3,2,172,220,Sedang
11,2,2,1,137,160,Sedang
12,6,3,6,188,260,Mahal
13,5,5,1,184,250,Mahal
15,4,3,7,400,400,Mahal
16,4,3,0,222,196,Mahal
17,3,2,2,74,78,Sedang
19,6,5,2,187,370,Sedang
20,4,1,0,180,90,Murah
21,2,3,1,270,450,Mahal
22,2,2,1,38,114,Sedang
25,4,1,0,97,90,Sedang
26,3,2,2,245,190,Sedang
27,5,2,3,350,258,Mahal
28,4,2,4,240,200,Mahal
30,3,2,0,137,170,Sedang
32,3,2,0,126,98,Sedang
33,2,1,0,100,60,Murah
34,4,3,0,394,420,Mahal
35,3,2,0,233,230,Sedang
36,3,3,0,159,130,Sedang
37,3,3,1,63,63,Sedang
38,6,4,0,143,288,Mahal
39,8,4,0,269,439,Mahal
40,4,3,1,240,200,Mahal
41,4,3,2,158,150,Sedang
42,4,2,0,85,80,Murah
43,1,1,0,22,46,Murah
44,5,4,1,170,350,Sedang
45,4,1,1,97,90,Sedang
46,3,2,0,198,175,Sedang
47,4,2,2,134,220,Sedang
48,4,1,1,120,110,Murah
49,2,1,1,240,200,Sedang
50,2,2,1,31,77,Murah
51,2,2,0,137,160,Sedang
52,2,2,1,72,65,Sedang
53,4,2,2,200,150,Sedang
54,5,3,0,56,95,Murah
55,3,2,1,70,116,Sedang
57,4,2,1,89,145,Sedang
60,7,4,2,364,500,Mahal
61,3,1,0,200,180,Sedang
63,6,3,2,161,200,Sedang
65,4,2,1,120,100,Sedang
67,5,4,1,170,350,Sedang
71,3,1,0,125,115,Murah
72,4,3,0,400,400,Mahal
74,4,3,1,202,300,Mahal
75,3,2,2,49,72,Sedang
76,4,4,4,178,250,Sedang
79,4,3,1,158,150,Sedang
80,3,1,0,38,70,Murah
84,3,2,2,510,300,Mahal
85,5,4,0,270,160,Mahal
88,4,2,0,168,165,Sedang
89,2,2,1,39,52,Murah
90,4,3,2,104,125,Sedang
91,2,2,1,39,525,Murah
93,4,4,0,153,167,Sedang
94,5,4,2,392,260,Mahal
95,4,4,1,228,450,Sedang
97,3,2,1,235,150,Mahal
98,3,2,2,140,90,Sedang
100,4,4,2,160,226,Mahal
101,3,2,0,202,360,Mahal
102,5,3,1,184,234,Mahal
105,2,2,0,137,160,Sedang
106,4,1,2,97,120,Sedang
107,4,4,1,127,250,Mahal
108,4,3,1,259,270,Sedang
110,4,2,0,140,160,Sedang
111,4,4,6,550,250,Mahal
112,4,2,3,240,200,Mahal
113,5,3,0,475,300,Mahal
114,5,4,1,195,320,Mahal
115,4,3,1,255,350,Mahal
116,3,1,0,71,65,Murah
118,3,5,2,316,250,Mahal
119,4,3,2,625,457,Mahal
120,3,2,1,129,100,Sedang
122,5,3,2,475,300,Mahal
124,2,2,0,165,300,Mahal
130,6,3,2,253,180,Mahal
131,2,1,0,32,60,Murah
132,3,1,1,350,258,Sedang
133,4,3,2,202,300,Mahal
135,3,2,0,49,72,Sedang
136,3,2,1,196,150,Sedang
140,2,2,4,216,273,Sedang
141,2,2,0,216,273,Sedang
142,6,3,2,187,370,Sedang
143,3,2,1,126,98,Sedang
144,7,3,1,140,300,Sedang
147,4,3,5,394,420,Mahal
149,5,4,1,170,350,Sedang
150,3,2,0,70,116,Sedang
152,3,2,0,204,100,Mahal
153,4,3,3,202,300,Mahal
154,4,3,0,255,350,Mahal
