JKT,JKM,GRS,LT,LB,Category
3,2,2,137,170,1
3,2,3,202,300,2
5,2,1,350,258,2
2,2,1,30,80,0
5,3,1,184,234,2
2,1,1,65,45,1
4,3,2,260,260,1
5,3,2,404,250,2
4,3,2,172,220,1
2,2,1,137,160,1
6,3,6,188,260,2
5,5,1,184,250,2
4,3,7,400,400,2
4,3,0,222,196,2
3,2,2,74,78,1
6,5,2,187,370,1
4,1,0,180,90,0
2,3,1,270,450,2
2,2,1,38,114,1
4,1,0,97,90,1
3,2,2,245,190,1
5,2,3,350,258,2
4,2,4,240,200,2
3,2,0,137,170,1
3,2,0,126,98,1
2,1,0,100,60,0
4,3,0,394,420,2
3,2,0,233,230,1
3,3,0,159,130,1
3,3,1,63,63,1
6,4,0,143,288,2
8,4,0,269,439,2
4,3,1,240,200,2
4,3,2,158,150,1
4,2,0,85,80,0
1,1,0,22,46,0
5,4,1,170,350,1
4,1,1,97,90,1
3,2,0,198,175,1
4,2,2,134,220,1
4,1,1,120,110,0
2,1,1,240,200,1
2,2,1,31,77,0
2,2,0,137,160,1
2,2,1,72,65,1
4,2,2,200,150,1
5,3,0,56,95,0
3,2,1,70,116,1
4,2,1,89,145,1
7,4,2,364,500,2
3,1,0,200,180,1
6,3,2,161,200,1
4,2,1,120,100,1
5,4,1,170,350,1
3,1,0,125,115,0
4,3,0,400,400,2
4,3,1,202,300,2
3,2,2,49,72,1
4,4,4,178,250,1
4,3,1,158,150,1
3,1,0,38,70,0
3,2,2,510,300,2
5,4,0,270,160,2
4,2,0,168,165,1
2,2,1,39,52,0
4,3,2,104,125,1
2,2,1,39,525,0
4,4,0,153,167,1
5,4,2,392,260,2
4,4,1,228,450,1
3,2,1,235,150,2
3,2,2,140,90,1
4,4,2,160,226,2
3,2,0,202,360,2
5,3,1,184,234,2
2,2,0,137,160,1
4,1,2,97,120,1
4,4,1,127,250,2
4,3,1,259,270,1
4,2,0,140,160,1
4,4,6,550,250,2
4,2,3,240,200,2
5,3,0,475,300,2
5,4,1,195,320,2
4,3,1,255,350,2
3,1,0,71,65,0
3,5,2,316,250,2
4,3,2,625,457,2
3,2,1,129,100,1
5,3,2,475,300,2
2,2,0,165,300,2
6,3,2,253,180,2
2,1,0,32,60,0
3,1,1,350,258,1
4,3,2,202,300,2
3,2,0,49,72,1
3,2,1,196,150,1
2,2,4,216,273,1
2,2,0,216,273,1
6,3,2,187,370,1
3,2,1,126,98,1
7,3,1,140,300,1
4,3,5,394,420,2
5,4,1,170,350,1
3,2,0,70,116,1
3,2,0,204,100,2
4,3,3,202,300,2
4,3,0,255,350,2
3,2,1,129,98,1
3,2,1,151,180,1
2,2,0,270,450,2
2,1,1,78,45,0
5,4,0,87,150,1
3,3,1,184,300,2
3,2,0,107,100,2
3,2,2,140,90,1
3,2,1,200,150,1
3,2,1,74,100,1
3,2,0,127,128,1
2,1,0,41,35,0
3,2,1,102,130,1
3,2,2,202,360,2
3,2,1,150,90,1
2,2,1,153,125,1
3,2,1,70,116,1
5,3,2,404,300,2
6,4,0,170,350,1
3,2,1,137,170,1
2,1,1,78,45,0
3,2,1,126,98,1
3,2,0,102,94,1
3,1,0,75,100,0
5,3,1,142,160,2
1,1,0,35,70,1
2,2,0,137,160,1
3,2,1,346,220,1
6,5,0,228,400,2
8,3,0,193,180,1
3,2,1,49,72,1
6,6,0,84,84,0
4,3,3,625,457,2
3,2,0,110,126,1
6,3,0,161,200,1
3,2,0,140,160,1
6,3,0,161,200,1
5,4,1,170,350,1
3,2,1,348,200,2
2,3,0,270,450,2
2,3,1,158,150,1
4,3,4,394,400,2
4,1,1,350,258,2
3,2,1,160,140,0
4,3,3,202,300,2
3,2,0,275,300,1
3,2,0,110,200,1
3,2,0,205,205,1
4,3,0,140,100,0
3,2,1,180,110,1
6,3,0,180,160,1
4,3,0,180,200,1
3,2,2,137,170,1
3,2,1,70,116,1
2,1,0,40,39,0
2,1,0,100,40,0
4,2,1,219,200,2
4,3,1,400,420,2
5,3,0,184,234,2
4,2,0,404,250,2
2,1,0,140,140,0
3,1,0,274,18,2
3,2,1,98,87,1
4,2,1,120,80,0
7,2,0,138,138,0
3,3,1,183,300,1
3,3,2,210,150,1
5,3,0,184,234,2
4,3,0,156,120,1
2,1,0,96,96,0
1,1,0,75,55,0
4,3,0,150,200,2
5,2,1,189,140,1
4,2,0,268,165,1
3,2,2,300,200,2
4,2,1,89,145,1
4,2,0,72,100,1
7,4,2,364,500,2
3,2,2,103,96,0
5,4,0,392,260,2
3,1,0,120,120,2
