,JKT,JKM,GRS,HARGA,LT,LB
0,3,2,2,2.1,137,170
1,3,2,3,4.1,202,300
2,5,2,1,3.3,350,258
3,2,2,1,0.58,30,80
5,5,3,1,3.6,184,234
6,2,1,1,1.17,65,45
7,4,3,2,2.9,260,260
8,5,3,2,4.5,404,250
10,4,3,2,2.2,172,220
11,2,2,1,1.4,137,160
12,6,3,6,7.0,188,260
13,5,5,1,3.6,184,250
15,4,3,7,5.8,400,400
16,4,3,0,3.5,222,196
17,3,2,2,1.5,74,78
18,3,3,1,8.0,399,309
19,6,5,2,1.5,187,370
20,4,1,0,0.65,180,90
21,2,3,1,3.9,270,450
22,2,2,1,1.2,38,114
25,4,1,0,1.1,97,90
26,3,2,2,2.75,245,190
27,5,2,3,3.3,350,258
28,4,2,4,3.5,240,200
30,3,2,0,2.3,137,170
32,3,2,0,1.2,126,98
33,2,1,0,0.875,100,60
34,4,3,0,5.5,394,420
35,3,2,0,1.75,233,230
36,3,3,0,2.2,159,130
37,3,3,1,1.8,63,63
38,6,4,0,7.0,143,288
39,8,4,0,4.25,269,439
40,4,3,1,3.5,240,200
41,4,3,2,1.8,158,150
42,4,2,0,0.6,85,80
43,1,1,0,0.265,22,46
44,5,4,1,1.5,170,350
45,4,1,1,1.1,97,90
46,3,2,0,2.35,198,175
47,4,2,2,2.57,134,220
48,4,1,1,0.5,120,110
49,2,1,1,3.0,240,200
50,2,2,1,0.55,31,77
51,2,2,0,1.4,137,160
52,2,2,1,1.1,72,65
53,4,2,2,1.25,200,150
54,5,3,0,0.4,56,95
55,3,2,1,1.6,70,116
57,4,2,1,1.8,89,145
60,7,4,2,6.5,364,500
61,3,1,0,2.0,200,180
63,6,3,2,2.0,161,200
65,4,2,1,1.2,120,100
67,5,4,1,1.35,170,350
68,4,3,1,35.0,317,200
71,3,1,0,0.55,125,115
72,4,3,0,5.8,400,400
74,4,3,1,4.0,202,300
75,3,2,2,1.4,49,72
76,4,4,4,1.58,178,250
77,7,4,0,11.0,188,260
79,4,3,1,1.75,158,150
80,3,1,0,0.325,38,70
84,3,2,2,7.0,510,300
85,5,4,0,5.3,270,160
88,4,2,0,2.5,168,165
89,2,2,1,0.999,39,52
90,4,3,2,1.99,104,125
91,2,2,1,1.0,39,525
93,4,4,0,2.5,153,167
94,5,4,2,5.5,392,260
95,4,4,1,2.5,228,450
97,3,2,1,3.7,235,150
98,3,2,2,2.0,140,90
100,4,4,2,5.0,160,226
101,3,2,0,3.95,202,360
102,5,3,1,4.0,184,234
105,2,2,0,1.3,137,160
106,4,1,2,1.1,97,120
107,4,4,1,3.6,127,250
108,4,3,1,2.5,259,270
110,4,2,0,1.4,140,160
111,4,4,6,4.95,550,250
112,4,2,3,3.3,240,200
113,5,3,0,6.5,475,300
114,5,4,1,6.5,195,320
115,4,3,1,4.0,255,350
116,3,1,0,0.6,71,65
118,3,5,2,4.5,316,250
119,4,3,2,6.25,625,457
120,3,2,1,1.55,129,100
121,5,4,6,8.5,500,574
122,5,3,2,6.5,475,300
124,2,2,0,7.5,165,300
126,4,3,0,19.0,580,280
130,6,3,2,4.25,253,180
131,2,1,0,0.26,32,60
132,3,1,1,3.0,350,258
133,4,3,2,3.6,202,300
135,3,2,0,1.4,49,72
136,3,2,1,2.5,196,150
140,2,2,4,1.24,216,273
141,2,2,0,1.24,216,273
142,6,3,2,1.5,187,370
143,3,2,1,1.2,126,98
144,7,3,1,2.1,140,300
147,4,3,5,5.3,394,420
149,5,4,1,2.0,170,350
150,3,2,0,1.6,70,116
151,5,4,4,7.9,500,574
152,3,2,0,3.25,204,100
153,4,3,3,3.5,202,300
154,4,3,0,4.0,255,350
155,3,2,1,1.1,129,98
156,3,2,1,1.65,151,180
159,2,2,0,3.9,270,450
160,2,1,1,0.89,78,45
163,5,4,0,2.2,87,150
164,3,3,1,3.25,184,300
166,3,2,0,5.0,107,100
167,3,2,2,1.8,140,90
168,6,2,4,9.5,391,500
169,3,2,1,2.5,200,150
173,3,2,1,1.5,74,100
175,3,2,0,1.15,127,128
178,2,1,0,0.8,41,35
179,3,2,1,1.95,102,130
181,3,2,2,4.0,202,360
184,3,2,1,1.6,150,90
185,2,2,1,1.98,153,125
186,3,2,1,1.7,70,116
188,5,3,2,4.5,404,300
189,6,4,0,1.4,170,350
192,3,2,1,2.3,137,170
194,2,1,1,0.875,78,45
196,3,2,1,1.7,126,98
197,3,2,0,2.3,102,94
198,3,1,0,0.9,75,100
200,5,3,1,5.0,142,160
201,1,1,0,1.5,35,70
202,2,2,0,1.35,137,160
203,3,2,1,2.75,346,220
204,6,5,0,4.0,228,400
206,8,3,0,1.6,193,180
207,3,2,1,1.15,49,72
208,6,6,0,0.775,84,84
209,4,3,3,6.25,625,457
210,3,2,0,1.1,110,126
211,6,3,0,1.65,161,200
212,3,2,0,2.2,140,160
213,6,3,0,1.9,161,200
214,5,4,1,1.75,170,350
215,3,2,1,3.5,348,200
217,2,3,0,3.9,270,450
218,2,3,1,2.0,158,150
219,4,3,4,5.4,394,400
220,4,1,1,3.1,350,258
222,3,2,1,0.657,160,140
226,4,3,3,3.75,202,300
227,3,2,0,1.5,275,300
228,3,2,0,1.5,110,200
229,3,2,0,2.5,205,205
230,4,3,0,0.3,140,100
234,3,2,1,2.5,180,110
235,6,3,0,1.35,180,160
236,4,3,0,2.25,180,200
238,3,2,2,2.3,137,170
242,5,4,6,7.9,500,574
243,3,2,1,1.8,70,116
244,2,1,0,0.89,40,39
248,2,1,0,0.85,100,40
250,4,2,1,3.8,219,200
251,4,3,1,5.5,400,420
252,5,3,0,4.0,184,234
255,4,2,0,4.5,404,250
256,2,1,0,0.55,140,140
258,3,1,0,3.1,274,18
259,3,2,1,1.45,98,87
260,4,2,1,0.512,120,80
261,7,2,0,0.7,138,138
262,3,3,1,2.9,183,300
264,3,3,2,2.5,210,150
265,5,3,0,3.95,184,234
266,4,3,0,1.62,156,120
267,2,1,0,0.648,96,96
